timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/31 05:44:16.846, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:44:16.850, 2 %, 0 %, 5282 MiB, 32768 MiB, 43.79 W, 43
2026/08/31 05:44:21.853, 0 %, 0 %, 4 MiB, 32768 MiB, 24.02 W, 35
2026/08/31 05:44:21.856, 66 %, 67 %, 5282 MiB, 32768 MiB, 205.27 W, 46
2026/08/31 05:44:26.859, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:44:26.864, 2 %, 0 %, 5282 MiB, 32768 MiB, 43.80 W, 43
2026/08/31 05:44:31.867, 0 %, 0 %, 4 MiB, 32768 MiB, 24.18 W, 35
2026/08/31 05:44:31.874, 1 %, 0 %, 5282 MiB, 32768 MiB, 43.71 W, 43
2026/08/31 05:44:36.883, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:44:36.886, 4 %, 0 %, 5282 MiB, 32768 MiB, 43.80 W, 43
2026/08/31 05:44:41.889, 0 %, 0 %, 4 MiB, 32768 MiB, 23.98 W, 35
2026/08/31 05:44:41.894, 4 %, 0 %, 5282 MiB, 32768 MiB, 43.89 W, 43
2026/08/31 05:44:46.898, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:44:46.905, 2 %, 0 %, 5282 MiB, 32768 MiB, 44.37 W, 43
2026/08/31 05:44:51.909, 0 %, 0 %, 4 MiB, 32768 MiB, 24.07 W, 35
2026/08/31 05:44:51.919, 3 %, 0 %, 5282 MiB, 32768 MiB, 42.92 W, 44
2026/08/31 05:44:56.928, 0 %, 0 %, 4 MiB, 32768 MiB, 24.07 W, 35
2026/08/31 05:44:56.933, 2 %, 0 %, 5282 MiB, 32768 MiB, 42.70 W, 43
2026/08/31 05:45:01.937, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:45:01.961, 3 %, 0 %, 5282 MiB, 32768 MiB, 54.48 W, 44
2026/08/31 05:45:06.967, 64 %, 44 %, 6254 MiB, 32768 MiB, 223.52 W, 39
2026/08/31 05:45:06.970, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.94 W, 43
2026/08/31 05:45:11.977, 100 %, 67 %, 6256 MiB, 32768 MiB, 230.71 W, 46
2026/08/31 05:45:11.979, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.89 W, 43
2026/08/31 05:45:16.985, 100 %, 65 %, 6256 MiB, 32768 MiB, 199.10 W, 49
2026/08/31 05:45:16.990, 5 %, 0 %, 5282 MiB, 32768 MiB, 48.50 W, 44
2026/08/31 05:45:21.993, 100 %, 65 %, 6256 MiB, 32768 MiB, 241.79 W, 52
2026/08/31 05:45:21.996, 7 %, 1 %, 5282 MiB, 32768 MiB, 44.02 W, 44
2026/08/31 05:45:27.001, 100 %, 67 %, 6256 MiB, 32768 MiB, 174.41 W, 53
2026/08/31 05:45:27.003, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.81 W, 43
2026/08/31 05:45:32.009, 100 %, 68 %, 6256 MiB, 32768 MiB, 212.56 W, 55
2026/08/31 05:45:32.011, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.78 W, 43
2026/08/31 05:45:37.017, 99 %, 66 %, 6256 MiB, 32768 MiB, 234.59 W, 57
2026/08/31 05:45:37.019, 5 %, 0 %, 5282 MiB, 32768 MiB, 43.67 W, 43
2026/08/31 05:45:42.024, 99 %, 68 %, 6256 MiB, 32768 MiB, 239.94 W, 59
2026/08/31 05:45:42.028, 7 %, 1 %, 5282 MiB, 32768 MiB, 48.50 W, 43
2026/08/31 05:45:47.034, 100 %, 67 %, 6256 MiB, 32768 MiB, 229.53 W, 61
2026/08/31 05:45:47.036, 7 %, 1 %, 5282 MiB, 32768 MiB, 44.06 W, 43
2026/08/31 05:45:52.041, 99 %, 67 %, 6256 MiB, 32768 MiB, 229.89 W, 62
2026/08/31 05:45:52.043, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.56 W, 43
2026/08/31 05:45:57.047, 100 %, 67 %, 6256 MiB, 32768 MiB, 235.86 W, 63
2026/08/31 05:45:57.053, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.44 W, 43
2026/08/31 05:46:02.056, 100 %, 67 %, 6256 MiB, 32768 MiB, 190.39 W, 65
2026/08/31 05:46:02.066, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.82 W, 43
2026/08/31 05:46:07.071, 100 %, 67 %, 6256 MiB, 32768 MiB, 213.05 W, 67
2026/08/31 05:46:07.074, 7 %, 1 %, 5282 MiB, 32768 MiB, 58.46 W, 43
2026/08/31 05:46:12.079, 99 %, 66 %, 6256 MiB, 32768 MiB, 187.03 W, 68
2026/08/31 05:46:12.082, 5 %, 0 %, 5282 MiB, 32768 MiB, 50.83 W, 44
2026/08/31 05:46:17.085, 100 %, 67 %, 6256 MiB, 32768 MiB, 216.25 W, 69
2026/08/31 05:46:17.088, 3 %, 0 %, 5282 MiB, 32768 MiB, 213.51 W, 45
2026/08/31 05:46:22.091, 100 %, 68 %, 6256 MiB, 32768 MiB, 187.39 W, 71
2026/08/31 05:46:22.098, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.92 W, 43
2026/08/31 05:46:27.104, 100 %, 68 %, 6256 MiB, 32768 MiB, 241.18 W, 71
